SUBJECT,TEXT,OSPAN,SSPAN,COM1,COM2,COM3,INT1,INT2,INT3,FAM1,FAM2,FAM3,VOL,INV
97,Spek,0.48921131,0.611746032,3,2,3,1,1,1,1,1,1,0,0.4
98,Netz,0.820175439,0.870588235,3,3,2,3,3,2,1,2,0,0,0.25
98,Wind,0.820175439,0.870588235,3,2,2,1,1,1,1,0,0,0,0.5
98,Spek,0.820175439,0.870588235,3,2,3,3,2,2,1,0,1,0.25,0
99,Netz,0.909444444,0.561904762,2,3,2,2,1,2,0,0,0,0.25,0.25
99,Wind,0.909444444,0.561904762,1,2,1,1,1,1,1,1,0,0.4,0.2
99,Spek,0.909444444,0.561904762,2,1,2,1,0,0,0,1,1,0.5,0.25
100,Netz,0.862044818,0.676190476,2,2,2,2,1,1,0,1,1,0,0.4
100,Wind,0.862044818,0.676190476,1,0,2,3,2,0,2,2,2,0.166666667,0.166666667
100,Spek,0.862044818,0.676190476,1,3,3,2,2,1,1,2,2,0,0.4
101,Netz,0.897321429,0.864145658,3,3,3,3,3,3,1,2,2,0,0
101,Wind,0.897321429,0.864145658,2,2,2,1,0,0,3,2,3,0.6,0
101,Spek,0.897321429,0.864145658,2,2,3,2,2,1,2,3,2,0,0.2
102,Netz,0.642195767,0.554761905,2,2,3,3,3,3,1,2,1,0,0.25
102,Wind,0.642195767,0.554761905,2,2,2,2,1,1,3,3,2,0,0.25
102,Spek,0.642195767,0.554761905,2,3,0,1,1,2,1,3,1,0,0.5
103,Netz,0.879880952,0.6,3,2,3,1,2,2,3,2,3,0.333333333,0
103,Wind,0.879880952,0.6,1,2,0,2,2,2,1,2,1,0,0.75
103,Spek,0.879880952,0.6,2,3,3,3,2,3,0,0,1,0,0.25
104,Netz,0.960714286,1,3,3,2,2,2,1,1,1,1,0,0.2
104,Wind,0.960714286,1,1,0,3,2,1,1,1,3,2,0,0.75
104,Spek,0.960714286,1,2,2,2,1,0,0,1,1,1,0.4,0
105,Netz,0.721626984,0.648809524,2,2,2,3,3,2,2,2,2,0,0
105,Wind,0.721626984,0.648809524,1,2,2,2,2,2,2,1,1,0.25,0.25
105,Spek,0.721626984,0.648809524,3,3,3,2,2,2,2,2,1,0,0
106,Netz,0.734438776,0.45970696,0,1,1,3,3,1,3,3,2,0,0.75
106,Wind,0.734438776,0.45970696,1,0,2,0,1,0,0,1,0,0,0.2
106,Spek,0.734438776,0.45970696,1,0,2,2,1,1,1,2,1,0,0.5
107,Netz,0.784722222,0.482857143,1,3,3,3,2,2,2,2,2,0,0
107,Wind,0.784722222,0.482857143,1,1,2,1,1,3,2,1,2,0,0
107,Spek,0.784722222,0.482857143,2,2,1,1,1,1,1,1,1,0.333333333,0.333333333
108,Netz,0.331666667,0.305952381,1,1,0,2,3,2,2,2,1,0.25,0.25
108,Wind,0.331666667,0.305952381,2,2,1,0,1,0,0,0,0,999999,999999
108,Spek,0.331666667,0.305952381,2,2,1,0,1,0,1,0,0,0.4,0.2
109,Netz,0.807017544,0.575925926,2,3,2,2,3,2,1,2,1,0,0
109,Wind,0.807017544,0.575925926,3,3,2,0,0,0,1,1,1,0,0.428571429
109,Spek,0.807017544,0.575925926,3,2,3,2,1,2,1,1,1,0.166666667,0.166666667
110,Netz,0.787301587,0.703479853,3,1,2,3,2,2,0,0,1,0,0
110,Wind,0.787301587,0.703479853,2,1,1,2,1,1,1,1,1,0,0.5
110,Spek,0.787301587,0.703479853,2,1,2,3,3,2,2,2,2,0,0
111,Netz,0.608928571,0.455494505,2,3,2,2,3,1,1,2,1,0,0.2
111,Wind,0.608928571,0.455494505,2,1,2,0,0,2,0,2,0,0.2,0.2
111,Spek,0.608928571,0.455494505,2,1,3,2,0,2,0,0,1,0.25,0.75
112,Netz,0.718187831,0.383333333,3,1,2,3,3,3,0,0,0,0,0
112,Wind,0.718187831,0.383333333,1,1,2,3,2,2,2,2,2,0,0
112,Spek,0.718187831,0.383333333,3,2,2,3,2,2,2,2,2,0,0.25
113,Netz,0.465079365,0.178571429,1,1,2,3,3,3,3,3,3,1,0
113,Wind,0.465079365,0.178571429,2,2,0,3,2,2,2,2,2,999999,999999
113,Spek,0.465079365,0.178571429,1,1,0,2,3,2,1,2,1,0,0.666666667
114,Netz,0.924603175,0.643650794,3,3,3,3,3,3,3,3,3,0,0
114,Wind,0.924603175,0.643650794,3,1,3,2,2,2,1,1,1,0.111111111,0.222222222
114,Spek,0.924603175,0.643650794,3,2,3,0,0,0,0,0,0,0,0.2
115,Netz,0.477521008,0.673260073,2,2,3,0,2,1,3,3,3,0,0
115,Wind,0.477521008,0.673260073,0,2,1,0,0,0,0,0,0,999999,999999
115,Spek,0.477521008,0.673260073,1,3,1,0,0,0,0,0,0,1,0
116,Netz,0.928571429,0.892857143,1,2,3,2,2,2,1,2,0,0,0.25
116,Wind,0.928571429,0.892857143,2,0,2,1,1,1,2,2,2,0,0.333333333
116,Spek,0.928571429,0.892857143,2,2,2,2,2,2,0,0,0,0,0.25
117,Netz,0.689806548,0.603492063,2,2,2,2,3,1,2,2,2,0,0.25
117,Wind,0.689806548,0.603492063,2,0,2,2,1,1,1,1,0,0,0
117,Spek,0.689806548,0.603492063,3,3,1,2,2,1,0,1,2,0,0.5
118,Netz,0.805392157,0.399404762,2,3,3,2,2,2,0,1,0,0,0.333333333
118,Wind,0.805392157,0.399404762,0,1,3,2,2,2,2,2,2,0,0.5
118,Spek,0.805392157,0.399404762,3,2,3,2,2,2,2,2,2,0,0.333333333
119,Netz,0.958646617,0.857282913,3,2,3,2,2,2,2,2,2,0,0.333333333
119,Wind,0.958646617,0.857282913,2,1,3,1,1,0,2,3,3,0,0
119,Spek,0.958646617,0.857282913,2,3,3,1,0,0,2,2,2,0,0
120,Netz,0.937830688,0.541666667,0,1,3,2,2,2,2,2,2,0,0
120,Wind,0.937830688,0.541666667,2,0,0,1,0,0,2,2,1,0,0.333333333
120,Spek,0.937830688,0.541666667,1,0,3,2,2,2,1,1,1,0,0.333333333
121,Netz,0.201884921,0.200297619,2,1,2,1,2,1,0,1,1,0,0.666666667
121,Wind,0.201884921,0.200297619,2,1,0,1,1,1,1,1,1,0.166666667,0.5
121,Spek,0.201884921,0.200297619,3,2,3,2,2,2,3,2,2,0,0
122,Netz,0.105311355,0.380952381,2,1,2,2,2,2,2,2,2,0,0.5
122,Wind,0.105311355,0.380952381,1,1,1,2,2,2,2,1,1,0,1
122,Spek,0.105311355,0.380952381,1,1,2,0,0,0,1,0,1,999999,999999
124,Netz,0.856919643,0.708333333,1,2,2,2,3,2,2,3,2,0,0.2
124,Wind,0.856919643,0.708333333,2,2,2,2,2,2,0,1,1,0,0.333333333
124,Spek,0.856919643,0.708333333,1,3,3,2,2,1,2,2,1,0,0.2
125,Netz,0.780677656,0.568809524,2,3,3,3,3,0,1,2,2,0,0
125,Wind,0.780677656,0.568809524,0,3,3,2,2,2,2,2,2,0,0.5
125,Spek,0.780677656,0.568809524,1,1,2,2,1,1,1,2,1,0,0.333333333
126,Netz,0.477005013,0.519047619,2,2,1,2,2,1,1,1,0,0,0.333333333
126,Wind,0.477005013,0.519047619,2,1,1,2,1,1,1,1,1,0,0.5
126,Spek,0.477005013,0.519047619,0,1,1,1,1,1,1,0,0,0,0.666666667
127,Netz,0.87359944,0.682142857,2,2,1,3,3,2,2,2,2,0,0.25
127,Wind,0.87359944,0.682142857,0,1,0,2,2,2,1,2,1,0,0.25
127,Spek,0.87359944,0.682142857,2,1,1,1,1,1,1,2,1,0,0.333333333
128,Netz,0.845238095,0.816137566,2,1,2,2,3,1,1,3,1,0,0.5
128,Wind,0.845238095,0.816137566,1,0,0,0,0,2,1,1,1,0.333333333,0.666666667
128,Spek,0.845238095,0.816137566,2,3,3,1,0,1,3,3,2,0,0
129,Netz,0.74702381,0.457142857,2,2,3,2,2,1,3,3,3,0,0
129,Wind,0.74702381,0.457142857,0,1,0,1,1,1,1,2,0,0,0.25
129,Spek,0.74702381,0.457142857,2,1,1,1,2,2,2,2,3,999999,999999
131,Netz,0.431026786,0.230325815,3,2,3,3,3,2,2,3,3,0,0
131,Wind,0.431026786,0.230325815,2,1,0,1,0,1,1,1,1,0.2,0.6
131,Spek,0.431026786,0.230325815,1,1,1,3,2,2,1,1,1,0,0.166666667
132,Netz,0.294897959,0.536796537,2,2,1,2,2,2,2,2,2,0,0.2
132,Wind,0.294897959,0.536796537,1,1,1,1,1,1,1,1,2,0,0.666666667
132,Spek,0.294897959,0.536796537,2,1,3,1,1,1,1,1,1,0,0.2
133,Netz,0.659593838,0.488095238,1,1,2,2,2,2,3,2,2,0,0.333333333
133,Wind,0.659593838,0.488095238,1,1,1,1,2,1,1,2,1,0.5,0.5
133,Spek,0.659593838,0.488095238,1,1,2,1,1,1,0,1,1,1,0
134,Netz,0.640384615,0.548571429,2,3,3,2,2,2,1,2,1,0,0.4
134,Wind,0.640384615,0.548571429,1,0,1,1,1,1,0,1,0,0.4,0.2
134,Spek,0.640384615,0.548571429,3,2,3,1,1,1,2,2,2,0.25,0.25
135,Netz,0.720634921,0.552380952,3,2,2,3,2,3,2,2,2,0,0
135,Wind,0.720634921,0.552380952,1,1,0,0,1,1,0,0,0,0.333333333,0.333333333
135,Spek,0.720634921,0.552380952,2,0,1,0,0,0,0,0,0,0.5,0.5
136,Netz,0.321778711,0.718571429,2,2,2,2,2,2,2,2,2,0,0.666666667
136,Wind,0.321778711,0.718571429,0,1,0,1,1,0,1,0,1,0.333333333,0.333333333
136,Spek,0.321778711,0.718571429,2,0,1,1,0,0,1,1,1,0,1
137,Netz,0.608465608,0.626890756,3,2,2,2,2,2,2,3,2,0,0.166666667
137,Wind,0.608465608,0.626890756,3,3,3,2,2,1,2,2,2,0,0.142857143
137,Spek,0.608465608,0.626890756,3,2,3,2,1,1,2,2,2,0,0.428571429
138,Netz,0.592592593,0.397069597,3,3,2,3,3,3,3,2,2,0,0.25
138,Wind,0.592592593,0.397069597,1,3,0,1,1,1,1,1,1,0.25,0.25
138,Spek,0.592592593,0.397069597,2,2,2,2,2,3,1,1,2,0,0.75
139,Netz,0.394113757,0.583333333,3,3,3,3,3,2,2,2,2,0,0.333333333
139,Wind,0.394113757,0.583333333,3,0,1,1,1,1,1,1,1,0.5,0.25
139,Spek,0.394113757,0.583333333,0,0,0,0,0,0,0,0,0,999999,999999
140,Netz,0.597222222,0.515873016,1,0,2,2,1,2,1,2,2,0,0.2
140,Wind,0.597222222,0.515873016,1,1,1,2,2,1,0,1,1,0,0.166666667
140,Spek,0.597222222,0.515873016,2,1,3,3,3,2,1,2,1,0,0
141,Netz,0.719887955,0.316017316,3,2,3,3,2,2,0,1,0,0,0
141,Wind,0.719887955,0.316017316,1,2,1,1,0,0,2,1,1,0,0.5
141,Spek,0.719887955,0.316017316,2,2,2,2,2,2,2,2,2,0,0.5
142,Netz,0.890731293,0.322222222,2,1,1,2,2,2,2,2,2,0,0.2
142,Wind,0.890731293,0.322222222,2,2,2,1,1,2,1,1,1,0,0
142,Spek,0.890731293,0.322222222,3,3,2,1,1,1,1,1,1,0,0
143,Netz,0.383116883,0.51017316,2,2,2,3,2,2,2,3,3,0.333333333,0.333333333
143,Wind,0.383116883,0.51017316,0,0,1,0,0,0,2,0,2,1,0
143,Spek,0.383116883,0.51017316,2,2,3,1,0,0,0,1,1,0,0.333333333
144,Netz,0.788852814,0.782857143,3,1,2,2,2,1,1,1,1,0,0.25
144,Wind,0.788852814,0.782857143,2,2,2,1,1,0,2,1,2,0,0.5
144,Spek,0.788852814,0.782857143,3,3,3,3,2,2,2,1,2,0,0
145,Netz,0.780677656,0.488644689,2,2,2,1,2,2,3,3,3,0,0.5
145,Wind,0.780677656,0.488644689,1,1,3,2,2,2,2,2,1,0,0
145,Spek,0.780677656,0.488644689,2,1,2,1,0,0,0,0,0,0,0.5
146,Netz,0.519312169,0.725396825,1,1,2,1,1,1,0,2,0,0.25,0.25
146,Wind,0.519312169,0.725396825,3,3,2,3,3,3,2,2,3,0.2,0.2
146,Spek,0.519312169,0.725396825,2,0,1,1,1,1,2,2,1,0.25,0.25
147,Netz,0.76860119,0.527819549,3,2,3,2,3,1,2,2,2,0,0.5
147,Wind,0.76860119,0.527819549,1,0,2,1,1,1,1,1,1,0.166666667,0.5
147,Spek,0.76860119,0.527819549,1,2,3,2,1,1,1,1,0,0.666666667,0.333333333
148,Netz,0.888736264,0.654081633,2,3,2,3,2,2,3,3,3,0,0.285714286
148,Wind,0.888736264,0.654081633,2,0,2,2,2,2,2,2,1,0,0.090909091
148,Spek,0.888736264,0.654081633,2,3,3,3,2,2,3,3,3,0,0
149,Netz,0.757002801,0.663888889,3,1,3,2,2,1,2,3,3,0,0.333333333
149,Wind,0.757002801,0.663888889,1,3,2,0,0,0,1,2,1,0,0.333333333
149,Spek,0.757002801,0.663888889,1,2,3,3,3,3,3,3,3,0,0
150,Netz,0.594230769,0.545938375,1,1,2,0,0,1,0,1,0,0.333333333,0.666666667
150,Wind,0.594230769,0.545938375,2,2,2,2,1,2,2,2,2,0,0.333333333
150,Spek,0.594230769,0.545938375,1,1,3,0,0,0,0,1,0,0.2,0.6
151,Netz,0.868421053,0.476870748,3,2,3,2,2,2,2,2,2,0,0.25
151,Wind,0.868421053,0.476870748,2,0,0,1,1,1,0,0,0,0,0.333333333
151,Spek,0.868421053,0.476870748,2,2,3,2,2,2,2,2,2,0,0
152,Netz,0.590343915,0.5,1,2,3,2,2,3,0,1,1,0,0.25
152,Wind,0.590343915,0.5,1,0,0,1,1,1,2,2,2,0,0.5
152,Spek,0.590343915,0.5,2,2,2,2,2,2,3,2,3,0,0
153,Netz,0.631845238,0.355311355,1,1,1,0,2,0,0,0,0,0,0.666666667
153,Wind,0.631845238,0.355311355,0,0,1,2,2,2,2,2,2,0,0
153,Spek,0.631845238,0.355311355,0,0,2,1,1,0,0,0,0,0,1
154,Netz,0.326530612,0.101851852,2,1,1,3,2,1,2,1,1,0.5,0.5
154,Wind,0.326530612,0.101851852,1,2,1,0,0,0,0,1,0,0,1
154,Spek,0.326530612,0.101851852,1,1,1,0,1,2,1,0,1,1,0
155,Netz,0.81267507,0.638541667,1,3,2,3,3,3,2,3,2,0,0
155,Wind,0.81267507,0.638541667,1,0,0,0,0,0,0,0,0,1,0
155,Spek,0.81267507,0.638541667,2,1,1,0,0,0,1,1,0,0,0.333333333
156,Netz,0.942042607,0.896031746,2,2,2,3,2,2,0,1,1,0,0
156,Wind,0.942042607,0.896031746,1,3,2,1,1,1,1,1,1,0,0.5
156,Spek,0.942042607,0.896031746,2,2,3,3,3,3,3,3,3,0,0
158,Netz,0.766666667,0.412605042,2,1,1,2,1,1,0,1,1,0.333333333,0
158,Wind,0.766666667,0.412605042,1,2,0,2,2,2,1,2,2,0.333333333,0
158,Spek,0.766666667,0.412605042,3,2,2,1,1,1,0,0,0,0.333333333,0
159,Netz,0.7767507,0.52585034,2,3,3,2,3,2,3,3,2,0.5,0
159,Wind,0.7767507,0.52585034,1,0,1,0,0,1,1,0,0,0,0.25
159,Spek,0.7767507,0.52585034,2,2,3,1,1,1,2,2,2,0.25,0
160,Netz,0.922932331,0.771428571,2,2,2,2,2,2,0,0,0,0,0.25
160,Wind,0.922932331,0.771428571,0,0,1,0,0,0,1,0,0,1,0
160,Spek,0.922932331,0.771428571,3,3,3,2,2,2,1,0,0,0,0
161,Netz,0.820952381,0.453333333,3,2,3,2,3,2,1,1,1,0,0
161,Wind,0.820952381,0.453333333,0,1,0,1,0,0,1,0,1,0.5,0.5
161,Spek,0.820952381,0.453333333,1,3,2,2,1,1,2,2,2,0,0.333333333
162,Netz,0.26057423,0.432936508,3,2,3,2,2,1,3,2,2,0,0.333333333
162,Wind,0.26057423,0.432936508,2,2,2,3,3,2,1,1,1,0,0.25
162,Spek,0.26057423,0.432936508,2,2,3,3,3,3,3,3,3,0,0.333333333
163,Netz,0.392948718,0.713333333,2,3,2,2,2,2,2,2,2,0,0.25
163,Wind,0.392948718,0.713333333,2,1,2,1,0,0,1,1,1,0,0.5
163,Spek,0.392948718,0.713333333,3,3,3,0,0,0,0,0,0,0.333333333,0.333333333
164,Netz,0.858134921,0.742857143,3,3,2,2,2,1,2,2,2,0.428571429,0.142857143
164,Wind,0.858134921,0.742857143,0,0,1,2,2,1,2,2,2,0.666666667,0.333333333
164,Spek,0.858134921,0.742857143,2,3,3,3,3,2,3,2,2,0,0
165,Netz,0.780224868,0.565567766,3,1,2,2,2,1,2,2,2,0,0.4
165,Wind,0.780224868,0.565567766,3,1,0,1,1,0,2,2,2,0.25,0.5
165,Spek,0.780224868,0.565567766,2,2,3,2,1,1,2,2,2,0.2,0
166,Netz,0.024509804,0.382936508,1,1,2,2,2,2,3,2,2,0,0
166,Wind,0.024509804,0.382936508,0,1,2,0,0,0,0,0,1,0.5,0.25
166,Spek,0.024509804,0.382936508,3,3,2,2,2,3,2,2,2,0,0
167,Netz,0.898412698,0.668412698,2,1,2,2,3,2,0,3,1,0.25,0.375
167,Wind,0.898412698,0.668412698,1,0,0,1,1,1,1,2,1,0.166666667,0.333333333
167,Spek,0.898412698,0.668412698,2,3,2,2,2,1,1,2,1,0,0.333333333
168,Netz,0.849439776,0.351587302,2,2,2,3,3,3,3,3,3,1,0
168,Wind,0.849439776,0.351587302,1,2,2,2,2,2,2,2,1,0.333333333,0.333333333
168,Spek,0.849439776,0.351587302,3,2,3,1,1,1,1,3,1,0.25,0.5
169,Netz,0.603741497,0.277777778,1,1,1,2,2,2,1,2,2,0,0
169,Wind,0.603741497,0.277777778,1,1,1,2,1,1,1,1,1,0.5,0.5
169,Spek,0.603741497,0.277777778,1,2,2,2,2,2,2,2,2,1,0
170,Netz,0.727513228,0.504960317,2,3,2,2,1,2,0,0,1,0,0
170,Wind,0.727513228,0.504960317,0,1,1,0,0,0,0,0,0,1,0
170,Spek,0.727513228,0.504960317,3,0,1,2,2,2,2,2,2,0,0.333333333
171,Netz,0.682539683,0.257440476,2,2,2,3,3,3,2,2,2,0,0.2
171,Wind,0.682539683,0.257440476,0,2,2,1,2,1,1,2,1,0.25,0.25
171,Spek,0.682539683,0.257440476,2,1,1,0,1,1,2,2,2,0,1
172,Netz,0.388888889,0.627489177,2,1,2,3,2,2,3,3,3,0,0
172,Wind,0.388888889,0.627489177,0,1,1,1,1,0,0,1,1,0,0
172,Spek,0.388888889,0.627489177,0,0,2,1,1,1,2,2,2,0,1
173,Netz,0.673370927,0.583333333,2,1,0,2,2,2,2,2,2,0,0
173,Wind,0.673370927,0.583333333,1,1,0,2,2,2,3,3,2,0,0
173,Spek,0.673370927,0.583333333,1,1,1,1,1,1,2,1,2,0,0
174,Netz,0.155079365,0.373544974,1,2,1,3,2,2,2,2,2,0,0.5
174,Wind,0.155079365,0.373544974,2,0,0,1,1,0,0,1,0,0.666666667,0.333333333
174,Spek,0.155079365,0.373544974,3,3,1,2,2,1,1,2,1,0,0
175,Netz,0.749867725,0.559920635,2,2,1,2,3,2,1,2,1,0,0.333333333
175,Wind,0.749867725,0.559920635,0,2,1,2,2,2,3,3,2,0.333333333,0.333333333
175,Spek,0.749867725,0.559920635,2,3,1,0,0,0,0,1,1,0.5,0.5
176,Netz,0.662907268,0.597252747,3,3,2,2,2,2,2,3,2,0,0.5
176,Wind,0.662907268,0.597252747,3,1,3,2,2,2,2,3,2,0,0.333333333
176,Spek,0.662907268,0.597252747,1,2,3,1,1,1,0,2,0,0,0.333333333
177,Netz,0.814661654,0.510204082,2,1,2,3,2,2,0,0,0,0,0
177,Wind,0.814661654,0.510204082,1,0,2,0,1,0,0,0,0,0.333333333,0.666666667
177,Spek,0.814661654,0.510204082,3,1,0,1,1,1,1,1,1,0,0.5
179,Netz,0.68452381,0.451948052,1,2,2,2,1,2,2,2,2,0.333333333,0.333333333
179,Wind,0.68452381,0.451948052,1,3,3,1,1,1,1,1,1,0.666666667,0
179,Spek,0.68452381,0.451948052,3,2,2,2,2,2,2,2,1,0,0
180,Netz,0.624064626,0.738471178,3,3,3,3,3,3,3,3,3,0,0
180,Wind,0.624064626,0.738471178,3,3,2,2,2,2,2,2,2,0,0.2
180,Spek,0.624064626,0.738471178,3,3,3,1,1,1,1,2,1,0,0
181,Netz,0.650132275,0.586640212,2,2,2,2,2,1,1,0,0,0,0.285714286
181,Wind,0.650132275,0.586640212,1,1,0,1,1,1,2,1,2,0,0.25
181,Spek,0.650132275,0.586640212,2,2,1,0,0,0,0,0,0,0,0.666666667
203,Netz,0.300324675,0.168730159,2,1,3,2,2,2,1,2,1,0,0
203,Wind,0.300324675,0.168730159,2,1,1,2,2,2,1,0,1,0,0
203,Spek,0.300324675,0.168730159,1,1,3,1,1,1,0,1,1,999999,999999
223,Netz,0.493197279,0.645054945,2,2,2,1,1,2,0,1,0,0.333333333,0
223,Wind,0.493197279,0.645054945,2,0,1,0,1,0,0,1,1,0,0.25
223,Spek,0.493197279,0.645054945,2,2,3,2,1,2,2,2,1,0,0.25
229,Netz,1,0.554166667,2,2,3,2,3,3,2,3,3,0,0.2
229,Wind,1,0.554166667,2,1,2,0,0,0,2,1,2,0.2,0.2
229,Spek,1,0.554166667,2,2,2,2,2,2,2,2,2,0,0
259,Netz,0.405873016,0.488333333,1,2,1,2,2,2,1,1,1,999999,999999
259,Wind,0.405873016,0.488333333,2,2,2,0,0,0,0,0,0,0,1
259,Spek,0.405873016,0.488333333,1,1,2,2,2,2,2,2,2,999999,999999
262,Netz,0.834747024,0.757142857,3,3,3,3,3,3,2,1,0,0,0
262,Wind,0.834747024,0.757142857,0,1,2,1,1,0,0,1,0,0,0
262,Spek,0.834747024,0.757142857,3,2,3,0,0,0,0,0,0,0.25,0.25
303,Netz,0.970238095,0.963585434,3,2,3,3,3,3,1,1,1,0.166666667,0
303,Wind,0.970238095,0.963585434,2,0,1,1,1,0,0,1,0,0.25,0.25
303,Spek,0.970238095,0.963585434,2,2,2,1,0,0,2,2,1,0.4,0.2
304,Netz,0.858333333,0.679220779,1,2,2,2,2,2,0,0,0,0,0.5
304,Wind,0.858333333,0.679220779,1,1,1,2,2,2,1,1,0,0,0.5
304,Spek,0.858333333,0.679220779,1,1,1,1,0,1,0,0,0,0.5,0
310,Netz,0.799702381,0.357142857,2,1,2,3,3,3,3,2,2,0.5,0
310,Wind,0.799702381,0.357142857,0,1,1,2,2,2,2,1,1,0,0
310,Spek,0.799702381,0.357142857,1,1,3,3,2,3,1,2,1,0,0.333333333
337,Netz,0.737044818,0.43042328,2,1,3,2,2,1,0,1,1,0,0.25
337,Wind,0.737044818,0.43042328,1,1,2,3,3,3,2,3,2,0,0
337,Spek,0.737044818,0.43042328,3,1,1,2,2,2,1,2,1,0.5,0.333333333
